Environment,Trait,Mean,Standard Deviation (SD),Sample Size (n),Standard Error (SE),Min,Max,CV%,Kurtosis,MSE,Degrees of Freedom (df),t-Critical Value,LSD (0.05)
FL22,DTH,38.50265957446808,3.58440970144338,376,0.184851816068242,31.0,49.0,9.309511968934938,-0.4907480703935403,12.879502797716073,374.0,1.966327183258447,0.7240082739858165
FL22,GFD,26.50824175824176,4.275941819385451,364,0.22412024859834498,18.0,40.0,16.130612729363705,0.44547158513096186,18.332000827394772,362.0,1.9665388125098338,0.8638645525340874
FL23,DTH,37.9973474801061,3.6919252557929694,377,0.19014382448649256,29.0,52.0,9.716271004774518,0.3527053599294958,13.665803294682725,375.0,1.966310160802313,0.7457749701195873
FL23,GFD,34.816976127320956,2.7542864817162265,377,0.1418529707618591,26.0,47.0,7.910757303116085,1.326802895992711,7.590330274885072,375.0,1.966310160802313,0.555802578910077
FL23,PHT,81.48894783405837,10.480560576655053,377,0.539776331517179,50.0,111.3333333,12.861327646538461,-0.3112600753499968,109.32302812320805,375.0,1.966310160802313,2.109337371017023
FL23,TNS,14.480005699095745,1.6935832314458021,376,0.08733988636104119,10.375,20.0,11.69601218838998,0.06288873705016984,2.8330879139520797,374.0,1.966327183258447,0.3395658493818756
FL23,TGW,33.91771799836968,4.558319868670712,376,0.23507739798952826,1.829652997,47.79783394,13.439347154457195,6.101623434120997,20.691519854318145,374.0,1.966327183258447,0.9176776962592457
FL23,KA,15.197772442480002,1.1314868823843125,375,0.058429731359021235,11.90484744,19.09060053,7.445083723070105,0.13030405529126865,1.2836629385918705,373.0,1.966344297279209,0.22857212277593492
FL23,KW,3.2229925925664897,0.1590025408411959,376,0.008199929941637048,2.704230165,3.614665225,4.933382137083385,0.41489761009502546,0.02533333819042678,374.0,1.966327183258447,0.03210999152049707
FL23,KL,6.393246523252659,0.24296719877440423,376,0.012530076547995199,5.676188313,7.047893167,3.8003727510071217,0.0950813351644535,0.05918345259770532,374.0,1.966327183258447,0.04907882187096226
FL23,KC,1.402568259018617,0.05029304062894421,376,0.0025936655321824884,1.278734383,1.599400302,3.5857820327500116,1.20758889932394,0.0025308325603371627,374.0,1.966327183258447,0.010149056893467118
FL23,KLW,2.017862196699468,0.11079692857077197,376,0.005713915307405607,1.686767094,2.387019178,5.49080748685405,0.6657330888114408,0.01230218318238273,374.0,1.966327183258447,0.022376135084713845
FL23,KPS,44.3152070668617,8.081417405263085,376,0.4167672805836978,23.625,77.125,18.236217181767966,1.0632906979231462,64.53684663533218,374.0,1.966327183258447,1.6206821583900601
FL23,GWS,1.4946509308537237,0.24435579338258628,376,0.012601687847061168,0.8925,2.225,16.34868639482355,-0.23745087664612896,0.05938145906004986,374.0,1.966327183258447,0.04916085332461199
GH22,DTH,43.6278659611993,4.64242224566984,567,0.19496340861899047,33.0,82.0,10.640956515724618,12.311620929563869,21.530985210477695,564.0,1.9641790265687167,0.9350852748031628
GH22,GFD,41.33922261484099,5.324657828210472,566,0.22381206223206734,28.0,57.0,12.880401447846513,-0.16227381435815413,17.746459999332146,563.0,1.9641865291610927,0.8489396009728694
GH22,PHT,76.55908289241623,11.077606954386534,567,0.46521576385756186,49.0,116.0,14.469356914780723,0.05215230207182264,111.29949706654763,564.0,1.9641790265687167,2.1260127643113935
GH22,TNS,17.6847442680776,1.976322090885947,567,0.08299772639757788,11.75,26.0,11.175293580316955,0.6733497209859469,3.690266445338276,564.0,1.9641790265687167,0.38712224606102597
GH22,TGW,46.21830243973545,5.891218791710049,567,0.24740793399897168,26.39705882,66.69172932,12.7465062123207,0.26307310371999204,28.73501753850026,564.0,1.9641790265687167,1.0802518033293613
GH22,KA,17.30030097047619,1.657399503631668,567,0.06960423666176646,12.04498995,22.8930209,9.580177283968073,0.11253845831238074,2.1902205621732653,564.0,1.9641790265687167,0.29823814720740255
GH22,KW,3.6375544516737213,0.18377336681795417,567,0.0077177559713866055,2.869434912,4.159717929,5.052113150729493,0.7249464017393232,0.030140877556058168,564.0,1.9641790265687167,0.03498623533210312
GH22,KL,6.449435935532628,0.3731255526471338,567,0.01566980031917229,5.374187538,7.537132723,5.785398232912584,-0.09584946523463467,0.10822121743574839,564.0,1.9641790265687167,0.06629419086477104
GH22,KC,1.302187432865961,0.036481646773133335,567,0.0015320851552351239,1.222129942,1.433965761,2.80156649130314,0.1563583232176753,0.001295862086422194,564.0,1.9641790265687167,0.007254352563126273
GH22,KLW,1.7843577928835979,0.10316879967499777,567,0.0043326823333505625,1.522176281,2.126303351,5.781844879230897,-0.040999016371349395,0.01016967388294357,564.0,1.9641790265687167,0.02032229633652235
GH22,KPS,35.73412698412698,6.964873646858838,567,0.29249719972342836,19.0,55.5,19.490817978994198,-0.19691968256529702,48.56655729199431,564.0,1.9641790265687167,1.4043906396519579
GH22,GWS,1.654920634920635,0.3868841770886669,567,0.01624760823432517,0.2975,2.8,23.377808513894124,-0.12333751970583373,0.1406909403005862,564.0,1.9641790265687167,0.07558790922099282
GH23,DTH,40.65343915343915,4.032888838646813,378,0.20742941927597786,30.0,55.0,9.920166467160119,0.23921941449670392,16.29601704152868,376.0,1.9662932291779265,0.8143802188443543
GH23,GFD,33.47883597883598,4.421532401112391,378,0.22741908715252462,19.0,49.0,13.206947827897936,0.42014979341265946,19.60168643229849,376.0,1.9662932291779265,0.8931680923040466
GH23,PHT,85.2928759894459,10.304425869521003,379,0.5293028034923282,59.0,114.0,12.08122689026932,-0.36483484990985815,106.36421772084205,377.0,1.9662763876602063,2.0805613979626405
GH23,TNS,17.089050131926122,1.8971100676005208,379,0.09744799856191826,13.0,24.75,11.101319575722352,0.3926277814724748,3.394629478204797,377.0,1.9662763876602063,0.37168835119987614
GH23,TGW,43.08268028736148,5.561744006792954,379,0.28568759990885434,27.33944954,61.01910828,12.909466100289308,0.48230864489960057,30.948116905546136,377.0,1.9662763876602063,1.122276517059964
GH23,KA,16.865941785342105,1.489849957954537,380,0.07642769023581661,12.55690894,21.40955797,8.8334821554367,-0.15798893897629895,2.2009559603006537,378.0,1.9662596355317696,0.2992848530675996
GH23,KW,3.5076303098812667,0.16843020523882055,379,0.008651678507328625,2.937539292,3.918599209,4.801823178581266,0.357742294056306,0.028436151044156727,377.0,1.9662763876602063,0.034018735575251605
GH23,KL,6.510697580823219,0.35058507345235634,379,0.01800834559737795,5.538187986,7.452852482,5.384754384614314,-0.13700931544135697,0.12135967320335121,377.0,1.9662763876602063,0.0702780917197146
GH23,KC,1.3409837233825859,0.0434071565081693,379,0.0022296758618413235,1.25471169,1.535828468,3.2369637118843038,0.768691058546159,0.0018744463362107707,377.0,1.9662763876602063,0.008734122263374515
GH23,KLW,1.8763321458153035,0.10678431059716638,379,0.005485141596802332,1.612643868,2.316462683,5.691119817742423,0.41851061368936326,0.011263516489061109,377.0,1.9662763876602063,0.021410152509718536
GH23,KPS,39.693931398416886,8.508437462201355,379,0.43704907571834206,20.5,67.25,21.43510900142458,-0.0114157064432856,71.88359010922531,377.0,1.9662763876602063,1.7103998148982762
GH23,GWS,1.7063060686015832,0.3900599974065929,379,0.0200360362403303,0.7425,2.9475,22.859907995654595,-0.1430271535302019,0.1519225437899383,377.0,1.9662763876602063,0.0786310134374374
